"firstseendate";"lastseendate";"Carrier";"Technology";"height";"latitude";"longitude"
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.111107728;80.18751921
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.115207856;80.19341871
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.131207664;80.18811875
1.72E12;1.72E12;"Mobitel";"UMTS";70;6.133108283;80.1710186
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.13330803;80.1786188
1.36E12;1.36E12;"Mobitel";"UMTS";70;6.139607693;80.18731858
1.71E12;1.72E12;"Mobitel";"UMTS";70;6.198408248;80.18091912
1.71E12;1.72E12;"Mobitel";"UMTS";70;6.198808421;80.18251879
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.200807824;80.18611888
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.201007881;80.18491883
1.71E12;1.72E12;"Mobitel";"UMTS";70;6.20110833;80.19151924
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.201207843;80.17321893
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.201207845;80.19751904
1.66E12;1.72E12;"Mobitel";"UMTS";70;6.201407978;80.17931892
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.20200793;80.17991852
1.72E12;1.72E12;"Mobitel";"UMTS";70;6.203107585;80.19461913
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.203107841;80.1843191
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.203907778;80.18111902
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.20760835;80.18641911
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.209107804;80.18251923
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.209307964;80.18591913
1.36E12;1.36E12;"Mobitel";"UMTS";70;6.217707901;80.20451915
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.220808282;80.19661863
1.37E12;1.37E12;"Mobitel";"UMTS";70;6.222207914;80.21321913
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.226208363;80.21391852
1.37E12;1.37E12;"Mobitel";"UMTS";70;6.226908046;80.17281854
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.227207936;80.17271866
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.231308119;80.17371915
1.66E12;1.71E12;"Mobitel";"UMTS";70;6.231407599;80.18771914
1.71E12;1.72E12;"Mobitel";"UMTS";70;6.231607933;80.1824192
1.72E12;1.72E12;"Mobitel";"UMTS";70;6.231807789;80.18561848
1.72E12;1.72E12;"Mobitel";"UMTS";70;6.2345079;80.1769187
1.72E12;1.72E12;"Mobitel";"UMTS";70;6.238208052;80.19441905
1.72E12;1.72E12;"Mobitel";"UMTS";70;6.240507672;80.18541854
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.240807662;80.18551846
1.71E12;1.72E12;"Mobitel";"UMTS";70;6.241608355;80.18891909
1.37E12;1.37E12;"Mobitel";"UMTS";70;6.242007579;80.19821889
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.244907881;80.19751926
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.247407591;80.1976185
1.71E12;1.72E12;"Mobitel";"UMTS";70;6.249008279;80.19771879
1.37E12;1.37E12;"Mobitel";"UMTS";70;6.251307731;80.19731888
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.25220832;80.19711885
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.252408182;80.19511861
1.71E12;1.73E12;"Mobitel";"UMTS";70;6.254008114;80.19791873
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.260207591;80.20691923
1.71E12;1.71E12;"Mobitel";"UMTS";70;6.261508043;80.1886192
1.34E12;1.34E12;"Mobitel";"UMTS";70;6.262808425;80.17531869
